,index,0
515,FIATX19,FIAT
516,KARMA,FISK
517,AERO,FORD
518,ASPIRE,FORD
519,BRON,FORD
520,B2,FORD
521,FORDBRONSP,FORD
522,FOCMAX,FORD
523,CONTOUR,FORD
524,COURIER,FORD
525,CROWNVIC,FORD
526,E100ECON,FORD
527,E150ECON,FORD
528,E250ECON,FORD
529,E350ECON,FORD
530,FORDE450,FORD
531,FORDECOSPT,FORD
532,EDGE,FORD
533,ESCAPE,FORD
534,ESCO,FORD
535,EXCURSION,FORD
536,EXP,FORD
537,EXPEDI,FORD
538,EXPEDIEL,FORD
539,FORDEXPMAX,FORD
540,EXPLOR,FORD
541,SPORTTRAC,FORD
542,F100,FORD
543,F150PICKUP,FORD
544,F250,FORD
545,F350,FORD
546,F450,FORD
547,FORDF550,FORD
548,FAIRM,FORD
549,FESTIV,FORD
550,FIESTA,FORD
551,FIVEHUNDRE,FORD
552,FLEX,FORD
553,FOCUS,FORD
554,FREESTAR,FORD
555,FREESTYLE,FORD
556,FUSION,FORD
557,GRANADA,FORD
558,GT,FORD
559,LTD,FORD
560,MUST,FORD
561,FORDMACHE,FORD
562,FOOTH,FORD
563,PROBE,FORD
564,RANGER,FORD
565,TAURUS,FORD
566,TAURUSX,FORD
567,TEMPO,FORD
568,TBIRD,FORD
569,FORDTRN150,FORD
570,FORDTRN250,FORD
571,FORDTRN350,FORD
572,TRANSCONN,FORD
573,WINDST,FORD
574,FORDZX2,FORD
575,FRESPRINT,FREIGHT
576,GENG70,GENESIS
577,GENG80,GENESIS
578,GENG90,GENESIS
579,GENGV80,GENESIS
580,ACADIA,GMC
581,CABALLERO,GMC
582,CANYON,GMC
583,ENVOY,GMC
584,ENVOYXL,GMC
585,ENVOYXUV,GMC
586,G1500,GMC
587,G2500,GMC
588,G3500,GMC
589,JIM,GMC
590,GMCOTH,GMC
591,GMCS15,GMC
592,S15,GMC
593,SAFARIGMC,GMC
594,GMCSAVANA,GMC
595,GMCSAV2500,GMC
596,GMCSAV3500,GMC
597,GMCSAV4500,GMC
598,15SIPU4WD,GMC
599,GMCC25PU,GMC
600,GMC3500PU,GMC
601,SONOMA,GMC
602,SUB,GMC
603,GMCSYCLON,GMC
604,TERRAIN,GMC
605,TOPC4500,GMC
606,TYPH,GMC
607,YUKON,GMC
608,YUKONXL,GMC
609,ACCORD,HONDA
610,CROSSTOUR,HONDA
611,CIVIC,HONDA
612,HONCLARITY,HONDA
613,CRV,HONDA
614,CRZ,HONDA
615,HONCROSS,HONDA
616,CRX,HONDA
617,HONDELSOL,HONDA
618,ELEMENT,HONDA
619,FIT,HONDA
620,HONHRV,HONDA
621,INSIGHT,HONDA
622,ODYSSEY,HONDA
623,HONOTH,HONDA
624,PASSPO,HONDA
625,PILOT,HONDA
626,PRE,HONDA
627,RIDGELINE,HONDA
628,S2000,HONDA
629,HUMMER,AMGEN
630,H2,AMGEN
631,H3,AMGEN
632,H3T,AMGEN
633,AMGOTH,AMGEN
634,ACCENT,HYUND
635,AZERA,HYUND
636,ELANTR,HYUND
637,HYUELANCPE,HYUND
638,ELANTOUR,HYUND
639,ENTOURAGE,HYUND
640,EQUUS,HYUND
641,HYUEXCEL,HYUND
642,GENESIS,HYUND
643,GENESISCPE,HYUND
644,HYUIONIQ,HYUND
645,HYUKONA,HYUND
646,HYUNDNEXO,HYUND
647,HYUOTH,HYUND
648,HYUNDPALIS,HYUND
649,SANTAFE,HYUND
650,SCOUPE,HYUND
651,SONATA,HYUND
652,TIBURO,HYUND
653,TUCSON,HYUND
654,VELOSTER,HYUND
655,HYUNDVENUE,HYUND
656,VERACRUZ,HYUND
657,XG300,HYUND
658,XG350,HYUND
659,EX35,INFIN
660,EX37,INFIN
661,FX35,INFIN
662,FX37,INFIN
663,FX45,INFIN
664,FX50,INFIN
665,G20,INFIN
666,G25,INFIN
667,G35,INFIN
668,G37,INFIN
669,I30,INFIN
670,I35,INFIN
671,J30,INFIN
672,JX35,INFIN
673,M30,INFIN
674,M35,INFIN
675,M35HYBRID,INFIN
676,M37,INFIN
677,M45,INFIN
678,M56,INFIN
679,INFOTH,INFIN
680,INFINQ40,INFIN
681,Q45,INFIN
682,INFINQ50,INFIN
683,INFINQ60,INFIN
684,INFINQ70,INFIN
685,INFINQX30,INFIN
686,QX4,INFIN
687,INFINQX50,INFIN
688,QX56,INFIN
689,INFINQX60,INFIN
690,INFINQX70,INFIN
691,INFINQX80,INFIN
692,AMIGO,ISU
693,ASCENDER,ISU
694,AXIOM,ISU
695,HOMBRE,ISU
696,I280,ISU
697,I290,ISU
